BookAbbrev	Chapter:Verse	Annotation
Gn	3:19	Dust thou art.] By these wordes Adam was admonished to humble himselfe, considering the matter wherof his bodie was made, & into which he should be resolued againe. Wherupon it came to be a ceremonie amongst penitents to cast ashes on their heads, as appeareth in holy Scriptures. For which cause the Church now also vseth this ceremonie the first day of Lent, putting ashes on her childrens heads: willing them to remember, that dust they are, & to dust they shal returne, to moue vs by this meditation to more serious penance.
Gn	3:22	Lest perhaps ] Notwithstanding Gods eternal decree in disposing al things, and his omnipotence which nothing can resist, yet he produceth good, and either auoideth or disposeth of euil which he suffereth, by ordinarie meanes, as appeareth Act. 27, v. 31. and that because man hath free wil, with which God concurreth, & destroyeth not nor forceth, as S. Augustin teacheth.
Gn	3:24	Placed Cherubins.] Man being cast out of Paradise, the same is defended with double guard: with Angels, that are watchful, wise, & potent; and with fire & sword, most terrible armour to man. Wherby againe we see that God vseth ordinarie meanes in his providence, as the ministerie of Angels & humane terrour, & would neither destroy the tree, nor depriue it of the vertue to prolong life, nor because man of free wil, by which he might desire to returne: but conferuing nature in al creatures, preuenteth inconueniences otherwise. These Angels also hinder the diuel, that he can not enter Paradise, lest he should take of the fruit of the tree, and giue it to men to prolong their liues, and thereby draw them to his seruice.
Gn	4:0	8. And Caine said to Abel his brother: Let vs goe forth abroad. And when they were in the filde, Caine rose vp against his brother Abel, and slewe him. 9. And our Lord said to Cain: Where is Abel thy brother? Who answered: I know not: am I my brothers keper? 10. And he said to him: What hast thou done? the voice of thy brothers bloud crieth to me out of the earth. 11. Now therfore cursed shalt thou be vpon the earth, which hath opened her mouth, & receiued the bloud of thy brother at thy hand. 12. When thou shalt til it, it shal not yeld to thee her fruite: a roag and vagabound shalt thou be vpon the earth. 13. And Cain said to our Lord: Myne iniquitie is greater, then that I may deserue pardon. 14. Loe thou doest cast me out this day from the face of the earth, and from thy face shal I be hid, and I shal be a vagabound & fugitiue on the earth: euerie one therfore that findeth me, shal kil me. 15. And our Lord said to him: No, it shal not so be: but whosoeuer shal kil Cain, shalbe punished seauen fould. And our Lord put a marke on Cain, that whosoeuer found him should not kil him. 16. And Cain went forth from the face of our Lord, and dwelt as a fugitiue on the earth at the east side of Eden. 17. And Cain knewe his wife, who conceiued, and brought forth Enoch: And he built a citie, & called the name therof by the name of his sonne, Enoch. 18. Moreouer Enoch begat Irad, and Irad begat Mauiael, and Mauiael begat Mathusael, and Mathusael begat Lamech. 19. Who tooke two wiues, the name of the one was Ada, and the name of the other Sella. 20. And Ada brought forth Iabel, who was the father of them that dwel in tents, and of heardsmen. 21. And his brothers name was Iubal: he was the father of them that sing on harpe & organes. 22. Sella also brought forth Tubalcain, who was a hammerer & worker in al worke of brasse & iron. And the sister of Tubalcain was Noema. 23. And Lamech said to his wiues Ada and Sella: Heare my voice ye wiues of Lamech, harken to my talke: for I haue slaine a man to the wounding of my selfe, and a stripeling to mine owne drie blowe brewsing. 24. Seuenfould vengeance shal be taken of Cain: but of Lamech seuentie times seuen fould. 25. Adam also knewe his wife again: and she brought forth a sonne, and called his name Seth, saying: God hath giuen me other seede for Abel, whom Cain slewe. 26. But to Seth also was borne a sonne, whom he called Enos, this man began to inuocate the name of our Lord.
Gn	4:8	8. And Caine said to Abel his brother: Let vs goe forth abroad. And when they were in the filde, Caine rose vp against his brother Abel, and slewe him. 9. And our Lord said to Cain: Where is Abel thy brother? Who answered: I know not: am I my brothers keper? 10. And he said to him: What hast thou done? the voice of thy brothers bloud crieth to me out of the earth. 11. Now therfore cursed shalt thou be vpon the earth, which hath opened her mouth, & receiued the bloud of thy brother at thy hand. 12. When thou shalt til it, it shal not yeld to thee her fruite: a roag and vagabound shalt thou be vpon the earth. 13. And Cain said to our Lord: Myne iniquitie is greater, then that I may deserue pardon. 14. Loe thou doest cast me out this day from the face of the earth, and from thy face shal I be hid, and I shal be a vagabound & fugitiue on the earth: euerie one therfore that findeth me, shal kil me. 15. And our Lord said to him: No, it shal not so be: but whosoeuer shal kil Cain, shalbe punished seauen fould. And our Lord put a marke on Cain, that whosoeuer found him should not kil him. 16. And Cain went forth from the face of our Lord, and dwelt as a fugitiue on the earth at the east side of Eden. 17. And Cain knewe his wife, who conceiued, and brought forth Enoch: And he built a citie, & called the name therof by the name of his sonne, Enoch. 18. Moreouer Enoch begat Irad, and Irad begat Mauiael, and Mauiael begat Mathusael, and Mathusael begat Lamech. 19. Who tooke two wiues, the name of the one was Ada, and the name of the other Sella. 20. And Ada brought forth Iabel, who was the father of them that dwel in tents, and of heardsmen. 21. And his brothers name was Iubal: he was the father of them that sing on harpe & organes. 22. Sella also brought forth Tubalcain, who was a hammerer & worker in al worke of brasse & iron. And the sister of Tubalcain was Noema. 23. And Lamech said to his wiues Ada and Sella: Heare my voice ye wiues of Lamech, harken to my talke: for I haue slaine a man to the wounding of my selfe, and a stripeling to mine owne drie blowe brewsing. 24. Seuenfould vengeance shal be taken of Cain: but of Lamech seuentie times seuen fould. 25. Adam also knewe his wife again: and she brought forth a sonne, and called his name Seth, saying: God hath giuen me other seede for Abel, whom Cain slewe. 26. But to Seth also was borne a sonne, whom he called Enos, this man began to inuocate the name of our Lord.
Gn	4:16	16. And Cain went forth from the face of our Lord, and dwelt as a fugitiue on the earth at the east side of Eden. 17. And Cain knewe his wife, who conceiued, and brought forth Enoch: And he built a citie, & called the name therof by the name of his sonne, Enoch. 18. Moreouer Enoch begat Irad, and Irad begat Mauiael, and Mauiael begat Mathusael, and Mathusael begat Lamech. 19. Who tooke two wiues, the name of the one was Ada, and the name of the other Sella. 20. And Ada brought forth Iabel, who was the father of them that dwel in tents, and of heardsmen. 21. And his brothers name was Iubal: he was the father of them that sing on harpe & organes. 22. Sella also brought forth Tubalcain, who was a hammerer & worker in al worke of brasse & iron. And the sister of Tubalcain was Noema. 23. And Lamech said to his wiues Ada and Sella: Heare my voice ye wiues of Lamech, harken to my talke: for I haue slaine a man to the wounding of my selfe, and a stripeling to mine owne drie blowe brewsing. 24. Seuenfould vengeance shal be taken of Cain: but of Lamech seuentie times seuen fould. 25. Adam also knewe his wife again: and she brought forth a sonne, and called his name Seth, saying: God hath giuen me other seede for Abel, whom Cain slewe. 26. But to Seth also was borne a sonne, whom he called Enos, this man began to inuocate the name of our Lord.
Gn	5:4	Begat sonnes and daughters.] Moyses in this genealogie reciteth not alwayes the first-begotten, nor the whole progenie by their names for then he should haue repeated Cain and Abel, and haue named many others, but those only by whom the Church of God continued, signifying the rest in general, whose succession was cut off by the floud.
Gn	5:5	And he died.] By this Gods word is verified faying, that Adam should dye, if he should eate of the forbidden tree. And the diuel is proued a lyer, faying, they should not dye. It is also most true that Adam dyed that day in which he did eate. For he began that very day to decline to death; and so doth al mankind euer since as truly said the woman of Thecua to King Dauid: we doe al die, and as waters that returne not, we fal downe on the earth. And what else (fayth S Gregorie) is this daylie decaying of our corruption, but a lingring death? And none of al these that liued longest reaching to a thousand yeares (which with God is as one day) escaped; man dyed in that day in which he transgressed.
Gn	5:24	Was seen no more.] That Enoch and Elias are yet aliue is a constant knowne truth in the harts and mouths of the faithful, faith S Augustin in his first booke de pec. cat. meri. & remiss. c. 3. and confirmeth the same in diuers other places. And it is testified by very many both Greeke and Latin Doctours: S Ireneus li. 5. S. Iustinus Martyr, q. 85. ad Orthodoxos, S. Hippolitus li. de Antichrifte, S Damascen. li. 4. de Orthodoxa fide, S. Hierom. epist. 61. ad Pamach. c. 11. S. Ambrofe in Psalm. 45. S. Chrysoftom. ho. 11. in Gen. ho. 58. in Mat. ho. 4. in Epist. 1. ad Thess. ho. 12. in ep. ad Heb. S. Greg. li. 14. Moral c. 11. ho 12. in Ezech. S. Profp. li. vlt. de promis. S. Bede in c. 9. Marc. Theophilact and Oecumenius in cap. 17. Mat. and others innumerable. Touching Elias it is manifest in Scriptures, that he shal come, and preach, & be slaine with another witnes of Christ, before the terrible day of Iudgement. Of Enoch Moyses maketh the matter more then probable, faying of euery one of the rest, he dyed, only of Enoch faith not fo, but that he appeared or was seen no more. For which the seuenty two Interpreters fay, And he was not found, for God translated him. Which can not signifie death, but transporting or remouing to an other place. Whereto agreeth the Authour of Ecclesiasticus, faying: Enoch pleased God, and was translated. But most cleerely S. Paul faith: Enoch was translated, that he should not see death, and he was not found, for God translated him. S. Chrysoftom affirmeth that The holy Scriptures say that God translated him, & that he translated him aliue, that he felt not death. And S. Augustin as expressly faith, Non mortuus, sed vivus translatus est. He (to wit Enoch) is translated, not dead but aliue. Diuers reasons are alleaged why God would reserue these two aliue: First to shew by example that mortal bodies can be conserued from corrupting; Secondly to giue vs an argument of immortalitie; Thirdly, these two (one of the law of nature, the other of the law of Moyses) are preferued aliue, to come amongst men againe towards the end of the world, to teach, testifie, and defend the true faith and doctrine of Christ against Antichrist.
Gn	6:0	8. But Noe found grace before our Lord: 9. These are the generations of Noe: Noe was a iust and perfect man in his generations, he did walke with God. 10. And he begat three sonnes, Sem, Cham, & Iapheth. 11. And the earth was corrupted before God, and was replenished with iniquitie. 12. And when God had perceiued that the earth was corrupted (for al flesh had corrupted his way vpon the earth) 13. he said to Noe: The end of al flesh is come before me, the earth is replenished with iniquitie from the face of them, & I wil destroy them with the earth. 14. Make thee an arke of timber planke: cabinets shalt thou make in the arke, and shalt pitch it within, and without with bitume. 15. And thus shalt thou make it. The length of the Arke shal be three hundred cubitts: fiftie cubitts the breadth, and thirtie cubitts the height of it. 16. Thou shalt make a windowe in the arke, and in a cubit finish the toppe of it: and the dore of the arke thou shalt set at the side belowe, middle chambers, and third loftes shalt thou make in it. 17. Behold I wil bring the waters of a great floud vpon the earth, that I may destroy al flesh, wherin there is breath of life vnder heauen. Al thinges that are in the earth, shal be consumed: 18. and I wil establish my couenant with thee: and thou shalt enter into the arke, thou and thy sonnes, and thy wife, and the wiues of thy sonnes with thee. 19. And of al liuing creatures of al flesh, thou shalt bring payres into the arke, that they may liue with thee, of the male sexe, and the female. 20. Of foules according to their kind, and of beastes in their kind, & of al that creepeth on the earth according to their kind: payres of al sortes shal enter in with thee, that they may liue. 21. Thou shalt take therfore with thee of al meates, that may be eaten, and thou shalt lay them vp with thee: and they shal be meate for thee and them. 22. Noe therfore did al thinges, which God commanded him.
Gn	6:8	8. But Noe found grace before our Lord: 9. These are the generations of Noe: Noe was a iust and perfect man in his generations, he did walke with God. 10. And he begat three sonnes, Sem, Cham, & Iapheth. 11. And the earth was corrupted before God, and was replenished with iniquitie. 12. And when God had perceiued that the earth was corrupted (for al flesh had corrupted his way vpon the earth) 13. he said to Noe: The end of al flesh is come before me, the earth is replenished with iniquitie from the face of them, & I wil destroy them with the earth. 14. Make thee an arke of timber planke: cabinets shalt thou make in the arke, and shalt pitch it within, and without with bitume. 15. And thus shalt thou make it. The length of the Arke shal be three hundred cubitts: fiftie cubitts the breadth, and thirtie cubitts the height of it. 16. Thou shalt make a windowe in the arke, and in a cubit finish the toppe of it: and the dore of the arke thou shalt set at the side belowe, middle chambers, and third loftes shalt thou make in it. 17. Behold I wil bring the waters of a great floud vpon the earth, that I may destroy al flesh, wherin there is breath of life vnder heauen. Al thinges that are in the earth, shal be consumed: 18. and I wil establish my couenant with thee: and thou shalt enter into the arke, thou and thy sonnes, and thy wife, and the wiues of thy sonnes with thee. 19. And of al liuing creatures of al flesh, thou shalt bring payres into the arke, that they may liue with thee, of the male sexe, and the female. 20. Of foules according to their kind, and of beastes in their kind, & of al that creepeth on the earth according to their kind: payres of al sortes shal enter in with thee, that they may liue. 21. Thou shalt take therfore with thee of al meates, that may be eaten, and thou shalt lay them vp with thee: and they shal be meate for thee and them. 22. Noe therfore did al thinges, which God commanded him.
Gn	7:16	Shut him in.] God who by his only wil could in a moment haue drowned al the rest of the world, fauing whom he pleased, not needing in any thing the help of his creatures, yet would vse both natural and supernatural meanes, as the labour of Noe to build the arke, new fountaines springing, and the heauens powring downe water fourtie dayes together, afterwards the wind to dry vp the earth, and because the dore (being great for Elephants to enter in) and was to be framed without (as S. Ambrose noteth) for better induring the forcible waters, could not commodiously be closed by Noe, Our Lord (by the ministrie of Angels) shut him in on the out side, to teach vs by al this and the like disposition of things, that albeit his Diuine omnipotecie can doe what he wil al alone, yet he wil haue his creatures to concurre and cooperate as secundarie causes, sometimes naturally, sometimes supernaturally or miraculously, as it pleaseth his goodnes to impart to them power and vertue.
Gn	7:23	But only Noe.] As there is not anie thing in al the old Testament, from the creation of the world til the comming of Christ, more notable, more admirable, or of greater importance, then this historie of the general floud; so was there nothing that euer more aptly, more luely, or more exactly prefigured Christ and his Church, then did Noe & the arke, & the drowning of the rest of the world in that deluge. Which S. Augustin declareth in many places, but most especially & of purpose in his twelfth booke against Faustus the Manichee, from the 14. chapter to the 21. and in his fifteenth booke of the citie of God. In summe the Doctours teach, that Noe, signifying rest, was a figure of Christ, the very rest of mans soule. Whom whosoeuer followeth shal find rest for their soules. The arke signifieth the Church, the forme therof being six times so long as broad, and ten times so long as high, resembleth the proportion of mans bodie. The dore in the side representeth the wound in Christs side, from whence flowed the holy Sacraments, by which the faithful enter into the Church, & are sanctified. The timber wherof the arke is made, & the water baring it vp, signified the Crosse of Christ & Baptisme. Likewise the squarenes of the timber signified such men in the Church, as be constant and stand firmely in al sorts of tentations: especially godly and learned Doctours and Pastours, who by word and example vphold and confirme the faithful people in al afflictions within, and withstand & conuince al Heretikes and other Infidels that oppugne the Church without. The most strong kind of glew called bitumen, signified the permanent or euerlasting stabilitie, and vnseparable connexion of the Church, by the grace and continual assistance of the Holie Ghost. The consummation of the arke in one cubit signified the vnitie of the same Church, which is one in al times and places. Neither would God haue manie arkes, nor manie chiefe Rulers, but one only arke, and one chiefe Gouernour therof, and that al without the same should corporally dye, to signifie that al which dye without the Church doe perish, and are eternally damned. Wherupon S. Hierom sheweth that al within the Church, that communicate with the See Apostolike are as those in the arke of Noe, and al Schismatikes, Heretikes, and other Infidels are in like case with the rest of the world, that were drowned with the floud.
