BookAbbrev	Chapter	Verse	VerseText_1609
Gn	1	29	And God said: Behold I haue giuen you al manner of hearbe that seedeth vpon the earth, and al trees that haue in them selues seede of their owne kinde, to be your meate:
Gn	1	30	and to al beastes of the earth, and to euerie foule of the ayre, & to al that moue vpon the earth, and wherein there is life, that they may haue to feede vpon. And it was so done.
Gn	1	31	And God sawe al things that he had made, and they were very good. And there was euening & morning that made the sixt day. #Heb { margin-top: -7px; margin-bottom: -4px; text-align: center; background-color: #fff; color: rgb(100, 102, 101); text-transform: uppercase; font-weight:normal; font-size: 25px; } ANNOTATIONS. Cʜᴀᴘ. I. 1. In the beginning. ] The Church had only Traditions & no Scripture aboue 2400. yeares. Holie Moyses telleth what was done in the beginningof the world, and so forward euen til his owne time, writing aboue two thou∣sand and foure hundreth yeares after the beginning. Al which being incom∣prehensible by humaine witte or discourse, he knew partly by Reuelations from God, for he had the gyft of Prophecie in most excellent sorte: partly by Traditions from his elders, who lerned of their fathers. For vntil that time the Church had only Traditions of such things, as were reueled to special men, wherby we see the great authoritie of Traditions, before there were Scrip∣tures. And since Scriptures were written they are also necessarie, for three spe∣cial reasons. Tradition necessary for three causes. 1. First for that we are only assured by Tradition of the Church, that those bookes are in dede holie Scriptures, which are so accounted, and not by the Scripture it selfe, for that were to proue the same by the same, vntil we be assured of some part, that proueth some other partes. And this made S. Au∣gustin to say plainly, * that he could not beleue the Gospel, except the Church told him vvhich is the Gospel. * cont. Epist. fund. c. 5. 2 Scripture most eminent authoritie. Secondly holie Scriptures being once knowen to be the word of God, and so of most eminent authoritie of al writings in the world, as S. Augustin S. Ierome, & al other Fathers agree, yet for the true vnderstan∣ding of the same, both the Scripture it selfe, and the ancient Fathers remitte vs to the Church, namely to those in the Church, that are appointed by Gods ordinance, in the high place that he hath chosen. VVhich were the High Priests in the old Testament, as appeareth: Deut. 17. Mat. 23. Ioan. 11. And in the new Testament, S. Peter and his Successors for whom Christ prayed that his faith should not faile: and therfore commanded him to confirme his bretheren Luc. 22. 3 Thirdly for things not expressed in particular in holie Scripture, the Scrip∣ture and Fathers do likewise remitte vs to Traditions, and to the iudgement and testimonie of the Church. Christ saying to his Apostles: * he that heareth you heareth me. The Apostles doubted not to say: ** It semed good to the Holie Ghost and to vs. And S. Paul willed the Thessalonians *** to hold the traditions, vvhich they had lerned, whether it were by word, or by his Epistle. * Luc. 10,16. **Act. 15, 28. ***2. Thess. 2. 1. In the beginning God made heauen and earth. ] Scriptures hard. Al writers ancient and later find such difficulties in these first chapters, that some otherwise very lerned haue thought it not possible to vnderstand the same according to the proper and vsual signification of the wordes, as the letter may seme to sound, but ex∣pound al allegorically, as that by the waters aboue the firmament should be vnderstood the blessed Angels, by the waters vnder the firmament wicked spitites, and the like. So did *Origen and diuers that folow him therein. Yea **S. Augustin in his bookes vpon Genesis against the Manichees, written shortly after his conuersion, when he could not find as he desired a good and probable sense agreable to the wordes, in their proper signification, expoun∣ded them mystically, but afterwards in his ***other bookes de Genesi ad literam, he gratfully acknowledgeth that God had geuen him further sight ther∣in, and that now he supposed he could interprete al according to the proper signification of the wordes. yet so that he durst not nor would not addict him selfe to one sense, but that he was readie to imbrace an other, lest by sticking to his owne iudgement he might faile. So likewise ****S. Basil, S. Chrisostom, S. Ambrose, S. Ierome, S. Bede, and other greatest Doctors found & confessed great difficulties in these first chapters, which they with much studie endeuo∣red to explicate. And therfore it is a wonder to see our Protestants & Puritans hold this Paradox, that Scriptures are easie to be vnderstood. * Origen. super. Gen. c. 1. ** Aug. li. 2. de Gen. cont. Manich. ca. 2. *** lib. 1. c. 18. & lib. 8. c. 2. **** Bas. ho. 9. in Genes. Chrisost. epist. 44. Amb. & Beda in examen. Ieron. Epistol. ad Eustoch. Gen. 1. v. 3. & 14. Exo. 20,5. & 18, v. 20. Ioan. 8,25. Rom. 8. Why Scriptures are hard. VVheras both by testimonie of those that haue in deede studied & laboured in them, and by a litle due consideration, the cōtrarie is most euident. For whosoeuer wil looke into the holie Scriptures, shal find that some times in shew one place semeth contrarie to an other; some times the letter & phrase are obscure & ambi∣guous; some times the sentences vnperfect. Againe manie speaches are pro∣phetical, manie parabolical, metaphorical, and vttered vnder other tropes and figures, and that in the literal sense. Three spiritual senses besides the Literal. Moreouer there are three spiritual senses besides the literal, very frequent in holie Scripture. Allegorical. Moral. Anagogical. Allegorical pertay∣ning to Christ and the Church; Moral pertayning to maners; and Anagogical pertayning to the next life. As this word Ierusalem literally signifieth the head citie of Iewrie: Morally the soule of man: Allegorically the Church militant: and Anagogically the Church triumphant. And sometimes this (and the like of others) metaphorically in the literal sense signifieth the Church militant, and not the citie of Iewrie, as in the 12. chapter to the Hebrewes: and some times the Church triumphant, as in the 21. of the Apocalips. 2. The Spirite of God. ] In the Hebrew it is signified, that the Spirite of God was on the waters to make them fertile, for that fishes and birdes were to be procreated therof; the word is merahepheth, incubabat, sate vpon, to produce fruict (saith S. Ierom) from the waters, as a henne by her heate, produceth life in the egges. And the same *S. Ierom, and before him Tertullian teach, that this was a figure of Baptisme, which consisteth of water and the Holie Ghost. A figure of Baptisme. For as water in the beginning of the world receiued a certain vital vertue of the Holie Ghost to produce liuing creatures: so also Baptisme receiueth vertue of the same Holie Ghost to procreate new men. Christians called fishes. VVherupon Tertullian calleth Christians fishes, because they are gotten from the waters, and thence haue their first spiritual life. Let it not therfore seme strange (saith he) that in Baptisme VVaters geue life. *Ieron. Epistol. 83. ad Ocea. Tert. de Baptis. 16. Tvvo great lights, and starres. ] Light being an accident remayned without subiect, by the iudgement of some lerned Fathers. Here occurreth an other example of the hardnes of holie Scripture. For if the two great lights (towit the Sunne & the Moone) and also the starres, vvere made the fourth day, and not before, as it m•y seme by the wordes in this place, then what was that light, and in what subiect was it, that was made the first day? S. Basil, S. Gregorie Nazianzen, Theodoret, and some others, writing vpon this place do thinke that the light, which was made the first day, remayned though an accident without his sub∣iect til the fourth day. And albeit most other Doctors rather think that the substance of the Sunne & Moone, & of other planets and starres were created the first day, and the fourth day set in that order and course which now they kepe, with more distinction for signes and seasons, and dayes and yeares : yet it is clere that the foresaid ancient Doctors iudged it possible, that accidents may remaine without their subiect. The accidents of breade and wine can remaine by Gods power without their subiects. which a Sacramentarie wil be loath to grant, lest it might be proued possible, as both these & al other Catholique Doctors beleued and taught, that the accidents of bread and wine remaine in the bles∣sed Sacrament of the Eucharist without their subiects. VVhich Protestants denie. 26. Let vs make man to our Image. ] Tenne prerogatiues of man in his creation. For better consideration of Gods bountie towards vs, and sturring our selues to gratitude towards him, we may here note tenne prerogatiues bestowed on vs, by our Lord & maker in our creation aboue al other earthlie creatures. 1. made like to God. First, wheras God by an imperial word of commandment made other creatures, Fiat lux, Fiat firmamentum: Be there light: Be there a firmament: intending to make man, he procedeth familiarly, by way, as it were, of consultation, and as to his owne vse and seruice to make man saying: Let vs make man to our image and likenes , that is to say, a reasonable creature with vnderstanding and free wil, which beastes haue not. 2. The Mysterie of the B. Trinitie insinuated in his creation. Secondly, in this worke God first insinuateth the high Mysterie of the B. Trinitie, or pluralitie of Persons in one God (because man is to beleue the same) signifying the plura∣litie of Persons by the wordes Let vs make, and to our: and the vnitie in substance, by the wordes Image and likenes, the first in the plural number, the later in the singular. 3. produced by God him selfe. Thirdly, other creatures were produced by the waters and earth, Let the vvaters bring forth (fishe and soule) Let the earth bring forth (grasse and cattle, & other beastes) but God brought forth man, not by the earth, though of the earth, nor by water, nor by heauen, nor by Angels, but by him selfe, geuing him a reasonable soule, not sensual only as to beastes, and the same not produced of anie creature, but created immediatly of nothing. 4. placed in paradise. Fourthly, God gaue man Paradise a most pleasant place to dwel in. 5. Lord of al earthlie creatires. Fiftly, God gaue man do∣minion and imperial authoritie ouer alliuing creatures vnder heauen. 6. innocencie. Sixtly, man was created in that innocencie of life, and integritie of al vertues, that his mind was wholly subiect to God, his sense to reason, his bodie to his spirite, and al other liuing creatures obedient to him: euen the terrible Lions, the cruel Tigres, the huge Elephants, and the wildest birdes. 7. excellent knowledge. Seuently, God brought them al to man, as to do him homage, and to take their names of him. VVhich by his excellent knowledge he gaue them conformable to their na∣tures. 8. powre to liue euer. Eightly, God gaue man in some sorte an immortal bodie, that if he had kept Gods commandment, he had liued long and pleasantly in this world, and so should haue bene translated to eternal life without dying. 9. gift of prophecie. Ninthly, God did not only adorne man with al natural knowledge, and supernatural ver∣tues, but also with the gift of prophecie. VVherby the knew that Eue was a bone of his bones, and flesh of his flesh, though being a slepe he knew not when she was made. 10. God conuersed familiarly with man. Tenthly (which was the chiefe benefite of al) God conuersed familiarly with man, and that in shape of man, which was a token of his meruelous great loue to man, and a singular incitment of him to loue God. Reade more, if you please, of the dignitie of man, and the benefites of God towards him in his creation, in S. Bernard vpon the 99. Psalme. And vpon the 61. chapter of Esaie. 28. Increase and multiplie. ] Gods blessings alwayes effectual. VVhether this be a commandment or no, at least it is a blessing, for so the wordes before conuince, God blessed them and said: In∣crease and multiplie. He said the same also to brute creatures, which are not ca∣pable of a precept, but by this were made fertile. VVherby we see that Gods blessing alwayes worketh some real effect: as of fertilitie in this and other places, of multiplication of the loaues and fishes, Ioan 6. Especially in the holie Eucharist. And some real effect Christs blessing must nedes worke also in the blessed Sacrament. Mat. 26. VVhich can be no other but changing bread and wine into his bodie & bloud, seing him selfe expresly sayeth: This is my bodie. this is my bloud. Not al men & wemen commanded to marie. And though Gods blessing in this place, be also a precept, yet it is not to al men for euer, but for the propagation of mankind, which being long since abundantly propagared, the obligation of the precept ceaseth the cause cea∣sing. So S. Cyprian, S. Ierome, S. Augustin, and other Fathers expound this place. And confirme the same by the text, for immediatly God signifying to what end he spoke, saith: and replenish the earth. VVhich benig replenished, Gods wil is therin fulfilled. Website began 2019. The Douay Rheims version from 1582 & 1610 is public domain. Home About St. Thomas Aquinas Online (English & Latin) Cross icon by Icons8 Quatrefoil Icon Catena Bible Vatican Library Codex Amiatinus (Latin Vulgate Manuscript) Codex Amiatinus (Writing is more legible) Codex Fuldensis (Latin Vulgate Manuscript) Gutenburg Bible (Pre 1592 Latin Vulgate) Cornelius à Lapide Commentary (Latin Original) Cornelius à Lapide Commentary (English) Original Document Another Original Document 1633 Document Original Textus Receptus Sixto-Clementine Vulgate Challoner Revision
Gn	2	1	THᴇ heauens therfore & the earth were fully finished, and al the furniture of them.
Gn	2	2	And the seuenth day God ended his woorke which he had made: & rested the seuenth day, from al woorke that he had done.
Gn	2	3	And he blessed the seuenth day and sanctified it: because in it he had ceased from al his woorke which God created to make.
Gn	2	4	These are the generations of heauen & earth, when they were created in the day, when our Lord God made the heauen, and the earth.
Gn	2	5	And euery plant of the filde, before it shot vp in the earth. And euerie herbe of the ground before it sprang: for our Lord God had not rayned vpon the earth: and man was not to til the earth:
Gn	2	6	But a spring rose out of the earth, watering al the ouermost part of the earth.
Gn	2	7	Our Lord God therfore formed man of the slyme of the earth: and breathed into his face the breath of life, & man became a liuing soule.
Gn	2	8	And our Lord God had planted a Paradise of pleasure from the beginning: wherin he placed man whom he had formed.
Gn	2	9	And our Lord God brought forth of the ground al maner of trees, fayre to behold: and pleasant to eate of: the tree of life also in the middle of Paradise: and the tree of knowledge of good & euil.
Gn	2	10	And a riuer issued out of the place of pleasure to water Paradise, which from thence is diuided into four heades.
Gn	2	11	The name of the one is Phison: that is it which compasseth al the land of Heuilath, where gold groweth.
Gn	2	12	And the gold of that land is very good: there is found bdelium, & the stone onyx.
Gn	2	13	And the name of the second riuer is Gehon: that is it which compasseth al the land of Ethiopia.
Gn	2	14	And the name of the third riuer is Tygris: that same passeth along by the Assirians. And the fourth riuer, the same is Euphrates.
Gn	2	15	Our Lord God therfore tooke man, & put him in the Paradise of pleasure, to woorke, & keepe it.
Gn	2	16	And he commanded him saying: Of euerie tree of Paradise eate thou:
Gn	2	17	But of the tree of knowledge of good & euil eate thou not. For in what day soeuer thou shalt eate of it, thou shalt dye the death.
Gn	2	18	Our Lord God also said: It is not good for man to be alone: let vs make him a helpe like vnto him selfe.
Gn	2	19	Our Lord God therfore hauing formed of clay al beastes of the earth, and foules of the ayre, brought them to Adam that he might see what to cal them: for al that Adam called any liuing creature, the same is his name.
Gn	2	20	And Adam called al beastes by their names, and al foules of the ayre, and al cattel of the filde: but vnto Adam there was not found an helper like him selfe.
Gn	2	21	Our Lord God therfore cast a dead sleepe vpon Adam: and when he was fast a sleepe, he tooke one of his ribbes, & filled vp flesh for it.
Gn	2	22	And our Lord God built the ribbe which he tooke of Adam into a woman: and brought her to Adam.
Gn	2	23	And Adam said: This now, is bone of my bones, and flesh of my flesh: she shal be called woman, because she was taken out of man.
Gn	2	24	Wherfore man shal leaue his father & mother, & shal cleaue to his wife, & they shal be two in one flesh.
Gn	2	25	And they were both naked; to wit Adam & his wife: and were not ashamed. #Heb { margin-top: -7px; margin-bottom: -4px; text-align: center; background-color: #fff; color: rgb(100, 102, 101); text-transform: uppercase; font-weight:normal; font-size: 25px; } Website began 2019. The Douay Rheims version from 1582 & 1610 is public domain. Home About St. Thomas Aquinas Online (English & Latin) Cross icon by Icons8 Quatrefoil Icon Catena Bible Vatican Library Codex Amiatinus (Latin Vulgate Manuscript) Codex Amiatinus (Writing is more legible) Codex Fuldensis (Latin Vulgate Manuscript) Gutenburg Bible (Pre 1592 Latin Vulgate) Cornelius à Lapide Commentary (Latin Original) Cornelius à Lapide Commentary (English) Original Document Another Original Document 1633 Document Original Textus Receptus Sixto-Clementine Vulgate Challoner Revision
Gn	3	1	BVᴛ the serpent also was more subtile then al the beasts of the earth, which our Lord God had made. Which said to the woman: Why hath God commanded you, that you should not eate of euerie tree of Paradise?
Gn	3	2	To whom the woman answered: Of the fruite of the trees that are in paradise, we doe eate:
Gn	3	3	but of the fruite of the tree which is in the middes of paradise, God hath commanded vs that we should not eate: and that we should not touch it, lest perhapes we die.
Gn	3	4	And the serpent said to the woman: No you shal not dye the death.
Gn	3	5	For God doth know that in what day soeuer you shal eate therof, your eyes shal be opened: and you shal be as gods, knowing good & euil.
Gn	3	6	The woman therfore sawe that the tree was good to eate, and fayre to the eyes, and delectable to behold: and she tooke of the fruite therof, and did eate, and gaue to her husband, who did eate.
Gn	3	7	And the eyes of them both were opened: and when they perceiued themselues to be naked, they sowed togeather leaues of a figge tree, and made themselues aprons.
Gn	3	8	And hearing the voice of our Lord God walking in paradise at the after none ayre: Adam hid himselfe and so did his wife from the face of our Lord God, amidst the trees of paradise.
Gn	3	9	And our Lord God called Adam, and said to him: Where art thou?
Gn	3	10	Who said: I heard thy voice in paradise: and I feared, because I was naked, and I hid me.
Gn	3	11	To whom he said: And who hath told thee that thou wast naked, but that thou hast eaten of the tree, whereof I commanded thee that thou shouldest not eate?
Gn	3	12	And Adam said: The woman, which thou gauest me to be my felow companion, gaue me of the tree, and I did eate.
Gn	3	13	And our Lord God said to the woman: Why hast thou done this? who answered: The serpent deceiued me, & I did eate.
Gn	3	14	And our Lord God said to the serpent: Because thou hast done this thing, accursed art thou among al catle, & beasts of the earth: vpon thy brest shalt thou goe, & earth shalt thou eate al the dayes of thy life.
Gn	3	15	I wil put enmyties betwen thee & the woman, and thy seed and the seed of her: she shal bruise thy head in peeces, & thou shalt lye in waite of her heele.
Gn	3	16	To the woman also he said: I wil multiplie thy trauailes, and thy child bearinges: in trauaile shalt thou bring forth children, and thou shalt be vnder thy husbands power, and he shal haue dominion ouer thee.
Gn	3	17	And to Adam he said: Because thou hast heard the voice of thy wife, and hast eaten of the tree, whereof I commanded thee, that thou shouldest not eate, cursed is the earth in thy woorke: with much toyling shalt thou eate thereof al the dayes of thy life.
Gn	3	18	Thornes and thystles shal it bring forth to thee, & thou shalt eate the herbes of the earth.
Gn	3	19	In the sweat of thy face shalt thou eate bread, til thou returne to earth, of which thou wast taken: because dust thou art, and into dust thou shalt returne.
Gn	3	20	And Adam called the name of his wife, Eue: for because she was mother of al the liuing.
Gn	3	21	Our Lord God also made for Adam and his wife garments of skynnes, and clothed them.
Gn	3	22	And said: Loe Adam is become as it were one of vs, knowing good & euil: now therfore lest perhapes he reach forth his hand, and take also of the tree of life, & eate, and liue for euer.
Gn	3	23	And our Lord God sent him out of the paradise of pleasure, to worke the earth of which he was taken.
Gn	3	24	And he cast out Adam: and placed before the paradise of pleasure Cherubins, & a flaming, and a turning sworde, for to keepe the way of the tree of life. #Heb { margin-top: -7px; margin-bottom: -4px; text-align: center; background-color: #fff; color: rgb(100, 102, 101); text-transform: uppercase; font-weight:normal; font-size: 25px; } Website began 2019. The Douay Rheims version from 1582 & 1610 is public domain. Home About St. Thomas Aquinas Online (English & Latin) Cross icon by Icons8 Quatrefoil Icon Catena Bible Vatican Library Codex Amiatinus (Latin Vulgate Manuscript) Codex Amiatinus (Writing is more legible) Codex Fuldensis (Latin Vulgate Manuscript) Gutenburg Bible (Pre 1592 Latin Vulgate) Cornelius à Lapide Commentary (Latin Original) Cornelius à Lapide Commentary (English) Original Document Another Original Document 1633 Document Original Textus Receptus Sixto-Clementine Vulgate Challoner Revision
Gn	4	1	ANᴅ Adam knewe Eue his wife: who conceiued and brought forth Cain, saying: I haue gotten a man through God.
Gn	4	2	And againe she brought forth his brother Abel. And Abel was a shepehard, & Cain a husbandman.
Gn	4	3	And it befel after manie dayes that Cain offred of the fruites of the earth giftes to our Lord.
Gn	4	4	Abel also offred of the first begotten of his flocke, and of their fat: and our Lord had respect to Abel, & to his giftes.
Gn	4	5	But to Cain, and to his giftes he had not respect: & Cain was exceeding angrie, and his countenance abated.
Gn	4	6	And our Lord said to him: Why art thou angrie? and why is thy countinance fallen?
Gn	4	7	If thou doe wel, shalt thou not receiue againe: but if thou doest il, shal not thy sinne forthwith be present at the dore? but the lust therof shal be vnder thee, and thou shalt haue dominion ouer it.
Gn	4	8	And Caine said to Abel his brother: Let vs goe forth abroad. And when they were in the filde, Caine rose vp against his brother Abel, and slewe him.
Gn	4	9	And our Lord said to Cain: Where is Abel thy brother? Who answered: I know not: am I my brothers keper?
Gn	4	10	And he said to him: What hast thou done? the voice of thy brothers bloud crieth to me out of the earth.
Gn	4	11	Now therfore cursed shalt thou be vpon the earth, which hath opened her mouth, & receiued the bloud of thy brother at thy hand.
Gn	4	12	When thou shalt til it, it shal not yeld to thee her fruite: a roag and vagabound shalt thou be vpon the earth.
Gn	4	13	And Cain said to our Lord: Myne iniquitie is greater, then that I may deserue pardon.
Gn	4	14	Loe thou doest cast me out this day from the face of the earth, and from thy face shal I be hid, and I shal be a vagabound & fugitiue on the earth: euerie one therfore that findeth me, shal kil me.
Gn	4	15	And our Lord said to him: No, it shal not so be: but whosoeuer shal kil Cain, shalbe punished seauen fould. And our Lord put a marke on Cain, that whosoeuer found him should not kil him.
Gn	4	16	And Cain went forth from the face of our Lord, and dwelt as a fugitiue on the earth at the east side of Eden.
Gn	4	17	And Cain knewe his wife, who conceiued, and brought forth Enoch: And he built a citie, & called the name therof by the name of his sonne, Enoch.
Gn	4	18	Moreouer Enoch begat Irad, and Irad begat Mauiael, and Mauiael begat Mathusael, and Mathusael begat Lamech.
Gn	4	19	Who tooke two wiues, the name of the one was Ada, and the name of the other Sella.
Gn	4	20	And Ada brought forth Iabel, who was the father of them that dwel in tents, and of heardsmen.
Gn	4	21	And his brothers name was Iubal: he was the father of them that sing on harpe & organes.
Gn	4	22	Sella also brought forth Tubalcain, who was a hammerer & worker in al worke of brasse & iron. And the sister of Tubalcain was Noema.
Gn	4	23	And Lamech said to his wiues Ada and Sella: Heare my voice ye wiues of Lamech, harken to my talke: for I haue slaine a man to the wounding of my selfe, and a stripeling to mine owne drie blowe brewsing.
Gn	4	24	Seuenfould vengeance shal be taken of Cain: but of Lamech seuentie times seuen fould.
Gn	4	25	Adam also knewe his wife again: and she brought forth a sonne, and called his name Seth, saying: God hath giuen me other seede for Abel, whom Cain slewe.
Gn	4	26	But to Seth also was borne a sonne, whom he called Enos, this man began to inuocate the name of our Lord. #Heb { margin-top: -7px; margin-bottom: -4px; text-align: center; background-color: #fff; color: rgb(100, 102, 101); text-transform: uppercase; font-weight:normal; font-size: 25px; } Website began 2019. The Douay Rheims version from 1582 & 1610 is public domain. Home About St. Thomas Aquinas Online (English & Latin) Cross icon by Icons8 Quatrefoil Icon Catena Bible Vatican Library Codex Amiatinus (Latin Vulgate Manuscript) Codex Amiatinus (Writing is more legible) Codex Fuldensis (Latin Vulgate Manuscript) Gutenburg Bible (Pre 1592 Latin Vulgate) Cornelius à Lapide Commentary (Latin Original) Cornelius à Lapide Commentary (English) Original Document Another Original Document 1633 Document Original Textus Receptus Sixto-Clementine Vulgate Challoner Revision
Gn	5	1	THɪꜱ is the booke of the generation of Adam. In the day, when God created man, to the likenes of God made he him.
Gn	5	2	Male and female created he them; and blessed them: and called their name Adam, in the day when they were created.
Gn	5	3	And Adam liued a hundred and thirtie yeares; and begat to his owne image and likenes, and called his name Seth.
Gn	5	4	And the dayes of Adam, after he begat Seth, came to eight hundred yeares: and he begat sonnes and daughters.
Gn	5	5	And al the time that Adam liued, came to nine hundred and thirtie yeares, and he died.
Gn	5	6	Seth also liued a hundred fiue yeares, and begat Enos.
Gn	5	7	And Seth liued after he begat Enos, eight hundred and seuen yeares, and begat sonnes and daughters.
Gn	5	8	And al the dayes of Seth came to nine hundred & twelue yeares, and he died.
Gn	5	9	And Enos liued nintie yeares, and begat Cainan.
Gn	5	10	After whose birth he liued eight hundred & fiftene yeares, and begat sonnes and daughters.
Gn	5	11	And al the dayes of Enos came to nine hundred and fiue yeares, and he died.
Gn	5	12	Cainan also liued seuentie yeares, & begat Malaleel.
Gn	5	13	And Cainan liued after he begat Malaleel, eight hundred & fourtie yeares, and begat sonnes & daughters.
Gn	5	14	And al the dayes of Cainan came to nine hundred and ten yeares, and he died.
Gn	5	15	And Malaleel liued sixtie fiue yeares, and begat Iared.
Gn	5	16	And Malaleel liued after he begat Iared, eight hundred and thirtie yeares, and begat sonnes and daughters.
Gn	5	17	And al the dayes of Malaleel came to eight hundred nyntie fiue yeares, & he died.
Gn	5	18	And Iared liued a hundred sixtie two yeares, and begat Enoch.
Gn	5	19	And Iared liued after he begat Enoch eight hundred yeares, and begat sonnes and daughters.
Gn	5	20	And al the dayes of Iared came to nine hundred sixtie two yeares, & he died.
Gn	5	21	Moreouer Enoch liued sixtie fiue yeares, & begat Mathusala.
Gn	5	22	And Enoch walked with God: & liued after he begat Mathusala, three hundred yeares, and begat sonnes and daughters.
Gn	5	23	And al the dayes of Enoch came to three hundred sixtie fiue yeares.
Gn	5	24	And he walked with God, and was seene no more: because God tooke him.
Gn	5	25	Mathusala also liued a hundred eightie seuen yeares, & begat Lamech.
Gn	5	26	And Mathusala liued, after he begat Lamech, seuen hundred eightie two yeares, and begat sonnes and daughters.
Gn	5	27	And al the dayes of Mathusala came to nyne hundred sixtie nine yeares, & he died.
Gn	5	28	And Lamech liued a hundred eightie two yeares, and begat a sonne:
Gn	5	29	and he called his name Noe, saying: This sonne shal comfort vs from the workes & labours of our handes on the earth, which our Lord cursed.
Gn	5	30	And Lamech liued, after he begat Noe, fiue hundred nintie fiue yeares, and begat sonnes and daughters.
Gn	5	31	And al the dayes of Lamech came to seuen hundred seuentie seuen yeares, and he died. And Noe when he was fiue hundred yeares olde, begat Sem, Cham, and Iaphat. #Heb { margin-top: -7px; margin-bottom: -4px; text-align: center; background-color: #fff; color: rgb(100, 102, 101); text-transform: uppercase; font-weight:normal; font-size: 25px; } Website began 2019. The Douay Rheims version from 1582 & 1610 is public domain. Home About St. Thomas Aquinas Online (English & Latin) Cross icon by Icons8 Quatrefoil Icon Catena Bible Vatican Library Codex Amiatinus (Latin Vulgate Manuscript) Codex Amiatinus (Writing is more legible) Codex Fuldensis (Latin Vulgate Manuscript) Gutenburg Bible (Pre 1592 Latin Vulgate) Cornelius à Lapide Commentary (Latin Original) Cornelius à Lapide Commentary (English) Original Document Another Original Document 1633 Document Original Textus Receptus Sixto-Clementine Vulgate Challoner Revision
Gn	6	1	ANᴅ after that men began to be multiplied vpon the earth, & had procreation of daughters:
Gn	6	2	The sonnes of God seing the daughters of men, that they were faire, tooke to them selues wiues out of al, which they had chosen.
Gn	6	3	And God said: My spirit shal not remaine in man for euer, because he is flesh: & his dayes shal be an hundred & twentie yeares.
Gn	6	4	And Giants were vpon the earth in those dayes. For after the sonnes of God did companie with the daughters of men, and they brought forth children, these be the mightie of the olde world, famous men.
Gn	6	5	And God seing the malice of men was much on the earth: and that al the cogitation of their hart was bent to euil at al times,
Gn	6	6	it repented him that he had made man on the earth. And touched inwardly with sorrowe of hart,
Gn	6	7	I wil, saith he: cleane take away man, whom I haue created, from the face of the earth; from man euen to beastes, from that which creepeth euen vnto the foules of the ayre. for it repenteth me that I haue made them.
Gn	6	8	But Noe found grace before our Lord:
Gn	6	9	These are the generations of Noe: Noe was a iust and perfect man in his generations, he did walke with God.
Gn	6	10	And he begat three sonnes, Sem, Cham, & Iapheth.
Gn	6	11	And the earth was corrupted before God, and was replenished with iniquitie.
