book	chapter	verse	commentary
Rom	6	5	For if we have been planted together in the likeness of His death, we shall be also in the likeness of His resurrection. What I had before occasion to remark, that I mention here too, that he continually digresses into exhortation, without making any twofold division as he does in the other Epistles, and setting apart the former portion for doctrines, and the latter for the care of moral instruction. Here then he does not do so, but blends the latter with the subject throughout, so as to gain it an easy admission. Here then he says there are two mortifyings, and two deaths, and that one is done by Christ in Baptism, and the other it is our duty to effect by earnestness afterwards. For that our former sins were buried, came of His gift.
Rom	6	19	I speak after the manner of men because of the infirmity of your flesh: for as you have yielded your members (so 4 manuscripts Sav. the members of your flesh) servants to uncleanness and to iniquity unto iniquity; even so now yield your members servants to righteousness unto holiness.
Rom	7	14	After having said that great evils had taken place, and that sin, taking occasion by the commandment, had grown stronger, and the opposite of what the Law mainly aimed at had been the result, and after having thrown the hearer into a great deal of perplexity, he goes on next to give the rationale of these events, after first clearing the Law of any ill suspicion. For lest - upon hearing that it was through the commandment that sin took that occasion, and that it was when it came that sin revived, and through it deceived and killed - any one should suppose the Law to be the source of these evils, he first sets forth its defense with considerable advantage, not clearing it from accusation only, but encircling it also with the utmost praise. And this he lays down, not as granting it for his own part, but as declaring a universal judgment.
Rom	8	12	Therefore, brethren, we are debtors, not to the flesh, to live after the flesh. For if you live after the flesh, you shall die; but if you through the Spirit do mortify the deeds of the body, you shall live. After showing how great the reward of a spiritual life is, and that it makes Christ to dwell in us, and that it quickens our mortal bodies, and wings them to heaven, and renders the way of virtue easier, he next fitly introduces an exhortation to this purpose. Therefore we ought not to live after the flesh. But this is not what he says, for he words it in a much more striking and powerful way, thus, we are debtors to the Spirit. For saying, we are debtors not to the flesh, indicates this. And this is a point he is everywhere giving proof of, that what God has done for us is not matter of debt, but of mere grace.
Rom	8	28	Here he seems to me to have mooted this whole topic with a view to those who were in danger; or, rather, not this only, but also what was said a little before this. For the words, the sufferings of this present time are not worthy to be compared with the glory which shall be revealed in us; and those, that the whole creation groans; and the saying, that we are saved by hope; and the phrase, we with patience wait for; and that, we know not what we should pray for as we ought; are all of them said to these. For he instructs them not to choose just what they may think, themselves, to be useful, but what the Spirit may suggest; for many things that seem to one's self profitable, do sometimes even cause much harm. Quiet, for instance, and freedom from dangers, and living out of fear, seemed to be advantageous for them.
Rom	9	1	I say the truth in Christ, I lie not, my conscience also bearing me witness in the Holy Ghost. Did I not seem yesterday to you to have spoken some great and exorbitant things of Paul's love toward Christ? And great indeed they were, too great for any words to express. Yet what you have heard today are as far above those things, as those things were above ours. And yet I did not think they could be exceeded, still when I came to what has been read today it did appear far more glorious than the whole of the former. And that he was aware of this himself he shows by his exordium.
Rom	10	1	Brethren, my heart's desire and prayer to God for them is, that they might be saved. He is now going again to rebuke them more vehemently than before. Wherefore he again does away with every suspicion of hatred, and makes a great effort beforehand to correct misapprehension. Do not then, he says, mind words or accusations, but observe that it is not in any hostile spirit that I say this. For it is not likely that the same person should desire their salvation, and not desire it only, but even pray for it, and yet should also hate them, and feel aversion to them. For here he calls his exceeding desire, and the prayer which he makes (&#x03B5;&#x1F50;&#x03B4;&#x03BF;&#x03BA;&#x1F77;&#x03B1;&#x03BD;), heart's desire.
Rom	10	14	How then shall they call on Him in Whom they have not believed? And how shall they believe in Him of Whom they have not heard? And how shall they hear without a preacher? And how shall they preach except they be sent? As it is written. Here again he takes from them all excuse. For since he had said, I bear them record that they have a zeal of God, but not according to knowledge, and that being ignorant of God's righteousness, they submitted not themselves to it: he next shows, that for this ignorance itself they were punishable before God. This he does not say indeed so, but he makes it good by carrying on his discourse in the way of question, and so convicting them more clearly, by framing the whole passage out of objections and answers. But look further back.
Rom	11	7	What then? Israel has not obtained that, which he seeks for; but the election has obtained it and the rest were blinded. He had said that God did not cast off His people; and to show in what sense He had not cast them off, he takes refuge in the Prophets again. And having shown by them that the more part of the Jews were lost, that he might not seem to be again bringing forward an accusation of his own, and to make his discourse offensive, and to be attacking them as enemies, he takes refuge in David and Isaiah, and says, Ver. 8. According as it is written, God has given them the spirit of slumber. Isaiah 29:10
Rom	12	1	I beseech you therefore, brethren, by the mercies of God, that you present your bodies a living sacrifice, holy, acceptable unto God, which is your reasonable service. After discoursing at large upon the love of God toward man, and pointing out His unspeakable concern for us, and unutterable goodness, which cannot even be searched into, he next puts it forward with a view of persuading those who have received the benefit to exhibit a conversation worthy of the gift. And though he is so great and good a person, yet he does not decline beseeching them, and that not for any enjoyment he was likely to get himself, but for that they would have to gain.
Rom	12	4	For as we have many members in one body, and all members have not the same office; so we, being many, are one body in Christ, and every one members one of another. Again he uses the same ensample as he does to the Corinthians, and that to allay the same passion. For great is the power of the medicine, and the force of this illustration for the correcting of this disease of haughtiness. Why (he means) do you think highly of yourself? Or why again does another utterly despise himself? Are we not all one body, both great and small? When then we are in the total number but one, and members one of another, why do you by your haughtiness separate yourself? Why do you put your brother to shame? For as he is a member of you, so are you also of him. And it is on this score that your claims to honor are so equal.
Rom	12	14	After teaching them how they ought to be minded towards one another, and after joining the members closely into one, he next proceeds to lead them forth to the battle without, which he makes easier as from this point. For as he who has not managed things well with those of his own side, will find more difficulty in arranging affairs with strangers, so he, that has practised himself duly among these, will with the more ease have the advantage of those without also. Hence then Paul also as he goes on in his journey, after the one places the other, and says, Bless them that persecute you. He did not say, be not spiteful or revengeful, but required something far better. For that a man that was wise might do, but this is quite an angel's part.
Rom	13	1	Of this subject he makes much account in other epistles also, setting subjects under their rulers as household servants are under their masters. And this he does to show that it was not for the subversion of the commonwealth that Christ introduced His laws, but for the better ordering of it, and to teach men not to be taking up unnecessary and unprofitable wars. For the plots that are formed against us for the truth's sake are sufficient and we have no need to be adding temptations superfluous and unprofitable. And observe too how well-timed his entering upon this subject is.
Rom	13	11	Since he had given them what commands were fitting, he again thrusts them on to the performance of good works, in consideration of what was pressing upon them. For the time of judgment, he means, is at the doors. So too he wrote to the Corinthians also, The remaining time is short. 1 Corinthians 7:29 And to the Hebrews again, For yet a little while, and He that shall come will come, and will not tarry.
Rom	14	1	Him that is weak in the faith receive ye, but not to doubtful disputations. For one believes that he may eat all things; another, who is weak, eats herbs. I Am aware that to most what is here said is a difficulty. And therefore I must first give the subject of the whole of this passage, and what he wishes to correct in writing this. What does he wish to correct then? There were many of the Jews which believed, who adhered of conscience to the Law, and after their believing, still kept to the observance of meats, as not having courage yet to quit the service of the Law entirely. Then that they might not be observed if they kept from swine's flesh only, they abstained in consequence from all flesh, and ate herbs only, that what they were doing might have more the appearance of a fast than of observance of the Law.
Rom	14	14	I know, and am persuaded by (Gr. in) the Lord Jesus, that there is nothing unclean of itself, but to him that esteems anything to be unclean, to him it is unclean. After first rebuking the person who judges his brother, and moving him to leave off this reproaching, he then explains himself further upon the doctrinal part, and instructs in a dispassionate tone the weaker sort, displaying in this case too a great deal of gentleness. For he does not say he shall be punished, nor anything of the sort, but merely disburdens him of his fears in the matter, and that with a view to his being more easily persuaded with what he tells him; and he says, I know, and am persuaded.
Rom	14	25	Now to Him that is of power to establish you according to my Gospel, and the preaching of Jesus Christ according to the revelation of the mystery, which was kept secret since the world began, but now is made manifest, and (manuscripts &#x03C4;&#x03B5; which Sav. omits) by the Scriptures of the Prophets, according to the commandment of the everlasting God, made known to all nations for the obedience of faith: to God only wise, to Him be glory through Jesus Christ our Lord. Amen. It is always a custom with Paul to conclude his exhortation with prayers and doxologies. For he knows that the thing is one of no slight importance. And it is out of affectionateness and caution that he is in the habit of doing this.
Rom	15	8	Now I say that Jesus Christ was a minister of the circumcision for the truth of God, to confirm the promises made unto the fathers. Again, he is speaking of Christ's concern for us, still holding to the same topic, and showing what great things He has done for us, and how He pleased not Himself. Romans 15:3 And besides this, there is another point which he makes good, that those of the Gentiles are debtors to a larger amount unto God. And if to a larger amount, then they ought to bear with the weak among the Jews. For since he had spoken very sharply to such, lest this should make these elated, he humbles their unreasonableness, by showing that it was by promise made to the fathers that they had the good things given them, while they of the Gentiles had them out of pity and love toward man only.
Rom	15	14	And I myself also am persuaded of you, my brethren, that you also are full of goodness, filled with all knowledge, able also to admonish one another. (So most: S. Chrys. others.) He had said, Inasmuch as I am the Apostle of the Gentiles, I magnify mine office. Romans 11:13 He had said, Take heed lest He also spare not you. Romans 11:21 He had said, Be not wise in your own conceits Romans 12:16; and again, Why do you judge your brother? Romans 14:10 And, Who are you that judgest another man's servant? Romans 14:4 And several other like things besides. Since then he had often made his language somewhat harsh, he now speaks kindly (&#x03B8;&#x03B5;&#x03C1;&#x03B1;&#x03C0;&#x03B5;&#x1F7B;&#x03B5;&#x03B9; ) . And what he said in the beginning, that he does in the end also.
Rom	15	25	But now I go unto Jerusalem to minister unto the saints. For it has pleased them of Macedonia and Achaia to make a certain contribution for the poor saints which are at Jerusalem. It has pleased them verily, and their debtors they are. Since he had said that I have no longer more place in these parts, and, I have a great desire, these many years, to come unto you, but he still intended to delay; lest it should be thought that he was making a jest of them, he mentions the cause also why he still puts it off, and he says, that I am going unto Jerusalem, and is apparently giving the excuse for the delay. But by means of this he also makes good another object, which is the exhorting of them to alms, and making them more in earnest about it. Since if he had not been minded to effect this, it had sufficed to say, I am going unto Jerusalem.
Rom	16	5	I think that many even of those who have the appearance of being extremely good men, hasten over this part of the Epistle as superfluous, and having no great weight in it. And I think that the same befalls them in regard to the genealogy that is in the Gospel. For because it is a catalogue of names, they think they cannot get any great good from it. Yet the gold founders' people are careful even about the little fragments; while these pass over even such great cakes of gold. That this then may not befall them, what I have already said were enough to lead them off from their listlessness. For that the gain even from this is no contemptible one, we have shown even from what was said on a former occasion, when we lifted up your soul by means of these addresses. We will endeavor then today also to mine in this same place.
Rom	16	17	Now I beseech you, brethren, mark them which cause divisions and offenses contrary to the doctrine which you have learned, and avoid them. For they that are such serve not our Lord Jesus Christ, but their own belly; and by good words and fair speeches deceive the hearts of the simple. Again an exhortation, and prayer after the exhortation. For after telling them to mark them which cause divisions, and not to listen to them, he proceeds, And the God of peace shall bruise Satan under your feet shortly: and, The grace of our Lord be with you. And notice how gently too he exhorts them: doing it not in the character of a counsellor, but that of a servant, and with much respect. For he calls them brethren, and supplicates them likewise. For, I beseech you, brethren, (he says).
1Cor	1	1	1. See how immediately, from the very beginning, he casts down their pride, and dashes to the ground all their fond imagination, in that he speaks of himself as called. For what I have learned, says he, I discovered not myself, nor acquired by my own wisdom, but while I was persecuting and laying waste the Church I was called. Now here of Him that calls is everything: of him that is called, nothing, (so to speak,) but only to obey. Of Jesus Christ. Your teacher is Christ; and do you register the names of men, as patrons of your doctrine? Through the will of God. For it was God who willed that you should be saved in this way.
1Cor	1	4	I thank my God always concerning you, for the Grace of God which was given you in Jesus Christ; that in every thing you were enriched in him. 1. That which he exhorts others to do, saying, Philippians 4:6 Let your requests with thanksgiving be made known unto God, the same also he used to do himself: teaching us to begin always from these words, and before all things to give thanks unto God. For nothing is so acceptable to God as that men should be thankful, both for themselves and for others: wherefore also he prefaces almost every Epistle with this. But the occasion for his doing so is even more urgent here than in the other Epistles.
1Cor	1	10	Now I beseech you, brethren, through the name of our Lord Jesus Christ, that you all speak of the same thing, and that there be no divisions among you; but that you be perfected together in the same mind and in the same judgment. What I have continually been saying, that we must frame our rebukes gently and gradually, this Paul does here also; in that, being about to enter upon a subject full of many dangers and enough to tear up the Church from her foundations he uses very mild language. His word is that he beseeches them, and beseeches them through Christ; as though not even he were sufficient alone to make this supplication, and to prevail.
1Cor	1	18	For the word of the cross is to them that perish foolishness; but to us which are saved it is the power of God. For it is written, I will destroy the wisdom of the wise, and the prudence of the prudent will I reject. Where is the Wise? Where is the Scribe? Where is the Disputer of the World? To the sick and gasping even wholesome meats are unpleasant, friends and relations burdensome; who are often times not even recognized, but are rather accounted intruders. Much like this often is the case of those who are perishing in their souls. For the things which tend to salvation they know not; and those who are careful about them they consider to be troublesome. Now this ensues not from the nature of the thing, but from their disease.
1Cor	1	26	For behold your calling, brethren, that not many wise men after the flesh, not many mighty, not many noble, [are called;] but God chose the foolish things of the world, that he might put to shame them that are wise. He has said that the foolishness of God is wiser than men; he has showed that human wisdom is cast out, both by the testimony of the Scriptures and by the issue of events; by the testimony, where he says, I will destroy the wisdom of the wise; by the event, putting his argument in the form of a question, and saying, Where is the wise? Where the Scribe? Again; he proved at the same time that the thing is not new, but ancient, as it was presignified and foretold from the beginning. For, It is written, says he, I will destroy the wisdom of the wise.
1Cor	2	1	And I, brethren, when I came to you, came not with excellency of speech or of wisdom, declaring unto you the testimony of God. For I determined not to know anything among you, save Jesus Christ, and Him crucified. Nothing was ever more prepared for combat than the spirit of Paul; or rather, I should say, not his spirit, (for he was not himself the inventor of these things,) but, nothing was ever equal to the grace working within him, which overcomes all things. For sufficient indeed is what had been said before to cast down the pride of the boasters about wisdom; nay, even a part of it had been enough. But to enhance the splendor of the victory, he contends anew for the points which he had been affirming; trampling upon the prostrate foe. Look at it in this way.
1Cor	2	6	Howbeit we speak wisdom among the perfect, yet a wisdom not of this world, nor of the rulers of this world, which are coming to naught; but we speak God's wisdom in a mystery, even the wisdom that has been hidden, which God fore-ordained before the worlds unto our glory. Darkness seems to be more suitable than light to those that are diseased in their eyesight: wherefore they betake themselves by preference to some room that is thoroughly shaded over. This also is the case with the wisdom which is spiritual. As the wisdom which is of God seemed to be foolishness unto those without: so their own wisdom, being foolishness indeed, was accounted by them wisdom.
1Cor	3	1	And I, brethren, could not speak unto you as unto spiritual, but as unto Carnal, as unto babes in Christ. I fed you with milk, and not with meat: for you were not yet able to bear it; nay, not even now are you able. For you are yet carnal. After having overturned the philosophy which is from without, and cast down all its arrogance, he comes unto another argument. For it was likely that they would say, If we were putting forth the opinions of Plato, or of Pythagoras, or any other of the philosophers, reason were you should draw out such a long discourse against us.
1Cor	3	12	If any man build upon this foundation gold, silver, costly stones, wood, hay, stubble; each man's work shall be made manifest: for the day shall declare it, because it is revealed in fire; and the fire shall prove each man's work of what sort it is. If any man's work abide which he built thereon, he shall receive a reward. If any man's work shall be burned, he shall suffer loss: but he himself shall be saved; yet so as through fire. This is no small subject of enquiry which we propose, but rather about things which are of the first necessity and which all men enquire about; namely, whether hell fire have any end. For that it has no end Christ indeed declared when he said, Their fire shall not be quenched, and their worm shall not die. [Mark 8:44, 46, 48.]
1Cor	3	18	Let no man deceive himself. If any man (&#x1F10;&#x03BD;&#x1F57;&#x03BC;&#x1FD6;&#x03BD; omitted.) thinks that he is wise in this world, let him become a fool, that he may become wise. For the wisdom of this world is foolishness with God. As I said before, having launched out before the proper time into accusation of the fornicator, and having half opened it obscurely in a few words, and made the man's conscience to quail, he hastens again to the battle with heathen wisdom, and to his accusations of those who were puffed up there-with, and who were dividing the Church: in order that having added what remained and completed the whole topic with accuracy, he might thenceforth suffer his tongue to be carried away with vehement impulse against the unclean person, having had but a preliminary skirmishing with him in what he had said before.
1Cor	4	3	But with me it is a very small thing that I should be judged of you, or of man's judgment: yea I judge not my own self. For I know nothing against myself, yet am I not hereby justified: but He that judges me is the Lord. Together with all other ills, I know not how, there has come upon man's nature the disease of restless prying and of unseasonable curiosity, which Christ Himself chastised, saying, Matthew 7:1 Judge not, that you be not judged. A kind of thing, which has no pleasure as all other sins have, but only punishment and vengeance. For though we are ourselves full of ten thousand evils, and bearing the beams in our own eyes, we become exact inquisitors of the offenses of our neighbor which are not at all bigger than motes. And so this matter at Corinth was falling out.
1Cor	4	6	Now these things, brethren, I have in a figure transferred to myself and Apollos for your sakes; that in us you might learn not to think of men above that which is written. So long as there was need of expressions as harsh as these, he refrained from drawing up the curtain, and went on arguing as if he were himself the person to whom they were addressed; in order that the dignity of the persons censured tending to counteract the censurers, no room might be left for flying out in wrath at the charges. But when the time came for a gentler process, then he strips it off, and removes the mask, and shows the persons concealed by the appellation of Paul and Apollos. And on this account he said, These things, brethren, I have transferred in a figure unto myself and Apollos.
1Cor	4	10	We are fools for Christ's sake: (For it is necessary from this point to resume our discourse:) but you are wise in Christ: we are weak, but you are strong: you have glory, but we have dishonor. Having filled his speech with much severity which conveys a sharper blow than any direct charge and having said, You have reigned without us; and God has set forth us last, as men doomed to death he shows by what comes next how they are doomed to death; saying, We are fools, and weak, and despised, and hunger, and thirst, and are naked, and are buffeted, and have no certain dwelling place, and toil, working with our own hands: which were very signs of genuine teachers and apostles.
1Cor	4	17	For this cause have I sent unto you Timothy, who is my beloved and faithful child in the Lord, who shall put you in remembrance of my ways which be in Christ Jesus. Consider here also, I entreat, the noble soul, the soul more glowing and keener than fire: how he was indeed especially desirous to be present himself with the Corinthians, thus distempered and broken into parties. For he knew well what a help to the disciples his presence was and what a mischief his absence. And the former he declared in the Epistle to the Philippians, saying, Philippians 2:12. &#x03BA;&#x03B1;&#x1F76;[] om. in rec. text Not as in my presence only, but also now much more in my absence, work out your own salvation with fear and trembling.
1Cor	5	1	It is actually reported that there is fornication among you, and such fornication as is not even named among the Gentiles, that one of you has his father's wife. And you are puffed up, and did not rather mourn, that he that had done this deed might be taken away from among you. When he was discoursing about their divisions, he did not indeed at once address them vehemently, but more gently at first; and afterwards, he ended in accusation, saying thus, 1 Corinthians 1:11 For it has been signified unto me concerning you, my brethren, by them which are of the household of Chloe, that there are contentions among you. But in this place, not so; but he lays about him immediately and makes the reproach of the accusation as general as possible.
1Cor	5	9	I wrote to you in my epistle to have no company with fornicators: yet not altogether with the fornicators of this world, or with the covetous and extortioners, or with idolaters, for then must ye needs go out of the world: but now I write unto you not to keep company, if any man that is named a brother be a fornicator, or covetous, or an idolater, or a drunkard, or a reviler, or an extortioner; with such an one no not to eat.
1Cor	6	12	All things are lawful for me, but not all things are expedient. All things are lawful for me, but I will not be brought into the power of any. Here he glances at the gluttons. For since he intends to assail the fornicator again, and fornication arises from luxuriousness and want of moderation, he strongly chastises this passion. It cannot be that he speaks thus with regard to things forbidden, such not being lawful: but of things which seem to be indifferent. To illustrate my meaning: It is lawful, he says, to eat and to drink; but it is not expedient with excess. And so that marvellous and unexpected turn of his, which he is often wont to adopt; Cf.
1Cor	6	15	Do you not know that your bodies are members of Christ? Shall I then take away the members of Christ, and make them members of a harlot? God forbid. Having passed on from the fornicator to the covetous person, he comes back to the former from the latter, no longer henceforth discoursing with him but with the others who had not committed fornication. And in the act of securing them lest they fall into the same sins, he assails him again. For he that has committed sin, though you direct your words to another, is stung even in that way; his conscience being thoroughly awakened and scourging him. Now the fear of punishment indeed was enough to keep them in chastity. But seeing that he does not wish by fear alone to set these matters right, he uses both threatenings and reasons.
1Cor	7	1	Now concerning the things whereof ye wrote to me: it is good for a man not to touch a woman. But because of fornications, let each man have his own wife; and let each woman have her own husband. Having corrected the three heaviest things laid to their charge, one, the distraction of the Church, another, about the fornicator, a third, about the covetous person, he thenceforth uses a milder sort of speech. And he interposes some exhortation and advice about marriage and virginity, giving the hearers some respite from more unpleasant subjects. But in the second Epistle he does the contrary; he begins from the milder topics, and ends with the more distressing.
1Cor	8	1	Now concerning things sacrificed to idols: we know that we all have knowledge. Knowledge puffs up, but love edifies. It is necessary first to say what the meaning of this passage is: for so shall we readily comprehend the Apostle's discourse. For he that sees a charge brought against any one, except he first perceive the nature of the offense will not understand what is said. What then is it of which he was then accusing the Corinthians? A heavy charge and the cause of many evils. Well, what is it? Many among them, having learned that Matthew 15:11 not the things which enter in defile the man, but the things which proceed out, and that idols of wood and stone, and demons, have no power to hurt or help, had made an immoderate use of their perfect knowledge of this to the harm both of others and of themselves.
1Cor	9	1	Am I not an Apostle? Am I not free? Have I not seen Jesus Christ our Lord? Are you not my work in the Lord? Inasmuch as he had said, If meat make my brother to stumble I will eat no flesh forever; a thing which he had not yet done, but professed he would do if need require: lest any man should say, You vaunt yourself at random, and art severe in discourse, and utterest words of promise, a thing easy to me or to any body; but if these sayings come from your heart, show by deeds something which you have slighted in order to avoid making your brother stumble: for this cause, I say, in what follows he is compelled to enter on the proof of this also, and to point out how he was used to forego even things permitted that he might not give offense, although without any law to enforce his doing so.
1Cor	9	13	Do you not know that they which minister about sacred things eat of the temple? And they which wait upon the altar have their portion with the altar? Even so did the Lord ordain that they which proclaim the Gospel should live of the Gospel. He takes great care to show that the receiving was not forbidden. Whereupon having said so much before, he was not content but proceeds also to the Law, furnishing an example closer to the point than the former. For it was not the same thing to bring forward the oxen and to adduce the law expressly given concerning priests. But consider, I pray, in this also the wisdom of Paul, how he mentions the matter in a way to give it dignity. For he did not say, They which minister about sacred things receive of those who offer them.
1Cor	9	24	Do you not know that they which run in a race run all, but one receives the prize? Having pointed out the manifold usefulness of condescension and that this is the highest perfectness, and that he himself having risen higher than all towards perfection, or rather having gone beyond it by declining to receive, descended lower than all again; and having made known to us the times for each of these, both for the perfectness and for the condescension; he touches them more sharply in what follows, covertly intimating that this which was done by them and which was counted a mark of perfectness, is a kind of superfluous and useless labor. And he says it not thus out clearly, lest they should become insolent; but the methods of proof employed by him makes this evident.
1Cor	10	13	There has no temptation taken you, but such as man can bear: but God is faithful, Who will not suffer you to be tempted above that you are able; but will with the temptation make also the way of escape, that you may be able to endure it.
1Cor	10	25	Whatsoever is sold in the shambles, eat, asking no question for conscience sake. Having said that they could not drink the cup of the Lord and the cup of the devils, and having once for all led them away from those tables, by Jewish examples, by human reasonings, by the tremendous Mysteries, by the rites solemnized among the idols ; and having filled them with great fear; that he might not by this fear drive again to another extreme, and they be forced, exercising a greater scrupulosity than was necessary, to feel alarm, lest possibly even without their knowledge there might come in some such thing either from the market or from some other quarter; to release them from this strait, he says, Whatsoever is sold in the shambles, eat, asking no question.
1Cor	11	2	Now I praise you that you remember me in all things, and hold fast the traditions, even as I delivered them to you. Having completed the discourse concerning the idol-sacrifices as became him, and having rendered it most perfect in all respects, he proceeds to another thing, which also itself was a complaint, but not so great a one. For that which I said before, this do I also now say, that he does not set down all the heavy accusations continuously, but after disposing them in due order, he inserts among them the lighter matters, mitigating what the readers would else feel offensive in his discourse on account of his continually reproving.
1Cor	11	17	But in giving you this charge, I praise you not, that you come together not for the better, but for the worse. It is necessary in considering the present charge to state also first the occasion of it. For thus again will our discourse be more intelligible. What then is this occasion? As in the case of the three thousand who believed in the beginning, all had eaten their meals in common and had all things common; such also was the practice at the time when the Apostle wrote this: not such indeed exactly; but as it were a certain outflowing of that communion which abode among them descended also to them that came after.
